player,mat,overs,M,runs,wicket,econ,_0s,_4s,_6s,wide,no_ball
540316,1144527,2.5,0,22,2,7.76,5,2,0,1,0
44932,1144527,4.0,0,22,0,5.5,11,3,0,0,0
46774,64862,6.0,2,9,1,1.5,31,1,0,0,0
46569,64862,6.0,1,18,2,3.0,29,3,0,2,0
46592,64862,6.0,1,15,3,2.5,26,1,0,0,0
45821,64862,5.2,2,9,3,1.68,29,0,1,0,1
46774,64863,10.0,2,26,4,2.6,47,3,0,1,0
46569,64863,7.0,0,36,0,5.14,26,5,0,4,0
46592,64863,10.0,3,25,0,2.5,46,2,0,1,0
45821,64863,7.4,0,35,1,4.56,30,5,0,1,0
45789,64863,6.0,1,21,2,3.5,25,1,1,2,0
46750,64863,2.0,0,7,0,3.5,6,0,0,0,0
46774,64865,10.0,0,40,2,4.0,33,2,0,1,0
46569,64865,6.0,0,63,0,10.5,15,8,3,2,0
46592,64865,7.0,0,51,0,7.28,15,7,0,0,0
45789,64865,7.0,0,37,1,5.28,19,3,0,2,0
45821,64865,8.0,0,51,0,6.37,21,4,2,0,0
46750,64865,6.0,0,45,0,7.5,14,5,0,0,0
47270,64865,1.0,0,6,0,6.0,2,0,0,0,0
46774,64866,10.0,2,47,0,4.7,34,3,2,0,0
46592,64866,7.0,1,41,0,5.85,26,4,1,2,1
46569,64866,10.0,0,60,0,6.0,23,4,1,0,0
45821,64866,8.0,0,42,1,5.25,21,3,0,0,1
46750,64866,3.0,0,22,0,7.33,6,3,0,0,0
45789,64866,4.0,0,39,0,9.75,4,3,1,0,0
47270,64866,8.0,0,52,1,6.5,13,3,1,2,0
46774,64867,10.0,0,33,0,3.3,35,1,0,0,1
46592,64867,10.0,1,41,2,4.1,40,3,0,1,0
46569,64867,10.0,1,42,2,4.2,36,2,1,3,0
45821,64867,9.0,0,39,2,4.33,30,5,0,0,0
46750,64867,8.0,0,42,0,5.25,28,4,1,0,0
45789,64867,3.0,0,24,0,8.0,7,2,1,0,0
46774,64868,8.0,0,42,0,5.25,30,3,1,3,1
46592,64868,10.0,1,45,3,4.5,36,5,0,2,3
45821,64868,8.0,0,55,1,6.87,25,7,1,0,0
46569,64868,7.1,1,45,0,6.27,26,4,2,3,0
44091,64868,7.0,0,41,0,5.85,16,1,2,0,0
45789,64868,5.0,0,20,1,4.0,17,2,0,0,0
46774,64862,6.0,2,9,1,-99.0,31,1,0,0,0
46569,64862,6.0,1,18,2,-99.0,29,3,0,2,0
46592,64862,6.0,1,15,3,-99.0,26,1,0,0,0
45821,64862,-99.0,2,9,3,-99.0,29,0,1,0,1
46774,64863,10.0,2,26,4,-99.0,47,3,0,1,0
46569,64863,7.0,0,36,0,-99.0,26,5,0,4,0
46592,64863,10.0,3,25,0,-99.0,46,2,0,1,0
45821,64863,-99.0,0,35,1,-99.0,30,5,0,1,0
